window_id,split,lake_name,target_datetime,length,window_days,target_raw,target_transformed
train_000000,train,【Huo】Lake Hnagzhang,2020-12-02 00:00:00,2,45,0.0,0.0
train_000001,train,【Huo】Lake Hnagzhang,2020-12-03 00:00:00,3,45,0.0,0.0
train_000002,train,【Huo】Lake Hnagzhang,2020-12-04 00:00:00,4,45,0.006000000052154,0.006000000052154064
train_000003,train,【Huo】Lake Hnagzhang,2020-12-05 00:00:00,5,45,0.0099999997764825,0.009999999776482582
train_000004,train,【Huo】Lake Hnagzhang,2020-12-06 00:00:00,6,45,0.0160000007599592,0.01600000075995922
train_000005,train,【Huo】Lake Hnagzhang,2020-12-07 00:00:00,7,45,0.0260000005364418,0.026000000536441803
train_000006,train,【Huo】Lake Hnagzhang,2020-12-08 00:00:00,8,45,0.0299999993294477,0.029999999329447746
train_000007,train,【Huo】Lake Hnagzhang,2020-12-09 00:00:00,9,45,0.0280000008642673,0.02800000086426735
train_000008,train,【Huo】Lake Hnagzhang,2020-12-10 00:00:00,10,45,0.0280000008642673,0.02800000086426735
train_000009,train,【Huo】Lake Hnagzhang,2020-12-11 00:00:00,11,45,0.0340000018477439,0.03400000184774399
train_000010,train,【Huo】Lake Hnagzhang,2020-12-12 00:00:00,12,45,0.0419999994337558,0.041999999433755875
train_000011,train,【Huo】Lake Hnagzhang,2020-12-13 00:00:00,13,45,0.050000000745058,0.05000000074505806
train_000012,train,【Huo】Lake Hnagzhang,2020-12-14 00:00:00,14,45,0.061999998986721,0.06199999898672104
train_000013,train,【Huo】Lake Hnagzhang,2020-12-15 00:00:00,15,45,0.0799999982118606,0.07999999821186066
train_000014,train,【Huo】Lake Hnagzhang,2020-12-16 00:00:00,16,45,0.096000000834465,0.09600000083446503
train_000015,train,【Huo】Lake Hnagzhang,2020-12-17 00:00:00,17,45,0.108000002801418,0.1080000028014183
train_000016,train,【Huo】Lake Hnagzhang,2020-12-18 00:00:00,18,45,0.115999996662139,0.11599999666213989
train_000017,train,【Huo】Lake Hnagzhang,2020-12-19 00:00:00,19,45,0.131999999284744,0.13199999928474426
train_000018,train,【Huo】Lake Hnagzhang,2020-12-20 00:00:00,20,45,0.143999993801116,0.14399999380111694
train_000019,train,【Huo】Lake Hnagzhang,2020-12-21 00:00:00,21,45,0.151999995112419,0.15199999511241913
train_000020,train,【Huo】Lake Hnagzhang,2020-12-22 00:00:00,22,45,0.150000005960464,0.15000000596046448
train_000021,train,【Huo】Lake Hnagzhang,2020-12-23 00:00:00,23,45,0.151999995112419,0.15199999511241913
train_000022,train,【Huo】Lake Hnagzhang,2020-12-24 00:00:00,24,45,0.158000007271766,0.15800000727176666
train_000023,train,【Huo】Lake Hnagzhang,2020-12-25 00:00:00,25,45,0.162000000476837,0.16200000047683716
train_000024,train,【Huo】Lake Hnagzhang,2020-12-26 00:00:00,26,45,0.165999993681907,0.16599999368190765
train_000025,train,【Huo】Lake Hnagzhang,2020-12-27 00:00:00,27,45,0.165999993681907,0.16599999368190765
train_000026,train,【Huo】Lake Hnagzhang,2020-12-28 00:00:00,28,45,0.173999994993209,0.17399999499320984
train_000027,train,【Huo】Lake Hnagzhang,2020-12-29 00:00:00,29,45,0.181999996304512,0.18199999630451202
train_000028,train,【Huo】Lake Hnagzhang,2020-12-30 00:00:00,30,45,0.200000002980232,0.20000000298023224
train_000029,train,【Huo】Lake Hnagzhang,2020-12-31 00:00:00,31,45,0.206000000238418,0.20600000023841858
train_000030,train,【Huo】Lake Hnagzhang,2021-01-01 00:00:00,32,45,0.209999993443489,0.20999999344348907
train_000031,train,【Huo】Lake Hnagzhang,2021-01-02 00:00:00,33,45,0.222000002861022,0.22200000286102295
train_000032,train,【Huo】Lake Hnagzhang,2021-01-03 00:00:00,34,45,0.236000001430511,0.23600000143051147
train_000033,train,【Huo】Lake Hnagzhang,2021-01-04 00:00:00,35,45,0.241999998688697,0.24199999868869781
train_000034,train,【Huo】Lake Hnagzhang,2021-01-05 00:00:00,36,45,0.256000012159347,0.25600001215934753
train_000035,train,【Huo】Lake Hnagzhang,2021-01-06 00:00:00,37,45,0.26800000667572,0.2680000066757202
train_000036,train,【Huo】Lake Hnagzhang,2021-01-07 00:00:00,38,45,0.287999987602233,0.2879999876022339
train_000037,train,【Huo】Lake Hnagzhang,2021-01-08 00:00:00,39,45,0.300000011920928,0.30000001192092896
